context_0,reply
"Чем занималось население, которое не попало в лагеря?","При скудном питании людей заставляли работать. Все лагерники были разбиты на бригады, которые выводили под конвоем. Регламентированного подъема не было, но все должны были быть к семи часам утра у ворот. Работа начиналась в восемь часов утра, обеденный перерыв длился 20-30 минут. Заканчивалась смена в 16 часов. После чего бригады конвоировали обратно в лагерь. После 18 часов всякое движение по территории прекращалось.

Заключенные работали на Онежском заводе, хлебозаводе, восстанавливали электростанцию, обслуживали военную полицию и военнослужащих. Часть лагерников разбирала старые деревянные дома в Петрозаводске на дрова. При этом хорошие дома вывозились в Финляндию."
Почему не все население Петрозаводска оказалось в лагерях?,"Историки подсчитали, что в  финских лагерях В Карелии побывали 50 тысяч человек, среди них русские, белорусы, украинцы. Их финны считали «неродственным» населением, а родственными народами признавали карелов, ингерманландцев, вепсов, эстонцев и мордву. Треть узников лагерей погибли от голода. Выжившие рассказывают, что заключенных избивали тросточками и резиновыми дубинками за малейшие нарушения режима."
Интернировали ли финские войска население на оккупированной части Карелии?,"Историки подсчитали, что в  финских лагерях В Карелии побывали 50 тысяч человек, среди них русские, белорусы, украинцы. Их финны считали «неродственным» населением, а родственными народами признавали карелов, ингерманландцев, вепсов, эстонцев и мордву. Треть узников лагерей погибли от голода. Выжившие рассказывают, что заключенных избивали тросточками и резиновыми дубинками за малейшие нарушения режима."
Когда советские войска освободили Петрозаводск?,Петрозаводск был оккупирован финскими войсками 1 октября 1941 года. Оккупация длилась 33 месяца и только 28 июня 1944 года город был освобожден.
Кем была оккупирована территория Карелии в годы Второй мировой войны?,Петрозаводск был оккупирован финскими войсками 1 октября 1941 года. Оккупация длилась 33 месяца и только 28 июня 1944 года город был освобожден.
Почему территорию Карелии оккупировала Финляндия?,Петрозаводск был оккупирован финскими войсками 1 октября 1941 года. Оккупация длилась 33 месяца и только 28 июня 1944 года город был освобожден.
Что сделали финские войска с Петрозаводском при отступлении в 1944 г.?,Петрозаводск был оккупирован финскими войсками 1 октября 1941 года. Оккупация длилась 33 месяца и только 28 июня 1944 года город был освобожден.
Где на территории современного Петрозаводска расположен мемориал а память о погибших в концлагерях?,"Всего в Петрозаводске 68 военно-исторических объектов города Петрозаводска, связанных с героями и событиями Великой Отечественной войны.  Главный мемориал, посвященный узникам концлагерей, находится на Соломенском шоссе, на территории кладбища «Пески»."
Когда в Петрозаводске был открыт мемориал в память о погибших в концлагерях?,"Всего в Петрозаводске 68 военно-исторических объектов города Петрозаводска, связанных с героями и событиями Великой Отечественной войны.  Главный мемориал, посвященный узникам концлагерей, находится на Соломенском шоссе, на территории кладбища «Пески»."
Чем питались заключенные концлагерей?,"""Здесь советских людей морили голодом, выгоняли на лесные работы зимой в рваных резиновых галошах на босую ногу. Здесь население лагерей питалось мышами, лягушками, дохлами собаками"". 

Из книги В.Г. Базанова ""За колючей проволокой: из дневника собирателя"""
Что шло в пищу у заключенных концлагерей?,"""Здесь советских людей морили голодом, выгоняли на лесные работы зимой в рваных резиновых галошах на босую ногу. Здесь население лагерей питалось мышами, лягушками, дохлами собаками"". 

Из книги В.Г. Базанова ""За колючей проволокой: из дневника собирателя"""
Как оккупационные власти переименовали улицы Петрозаводска?,"Из книги Юкка Куломаа «Финская оккупация Петрозаводска»: «Проспект Карла Маркса ок­рестили нейтрально — Валтакату (Главная улица), улица Ленина стала Карьяланкату (Карельская улица), улица Энгельса — Кескускату (Центральная улица), улица Кирова — Калеванкату (ули­ца Калева)."
Какие улицы в Петрозаводске были переименованы в период оккупации?,"Из книги Юкка Куломаа «Финская оккупация Петрозаводска»: «Проспект Карла Маркса ок­рестили нейтрально — Валтакату (Главная улица), улица Ленина стала Карьяланкату (Карельская улица), улица Энгельса — Кескускату (Центральная улица), улица Кирова — Калеванкату (ули­ца Калева)."
Какие новые названия улиц появились в Петрозаводске в 1943 г.?,"Из книги Юкка Куломаа «Финская оккупация Петрозаводска»: «Проспект Карла Маркса ок­рестили нейтрально — Валтакату (Главная улица), улица Ленина стала Карьяланкату (Карельская улица), улица Энгельса — Кескускату (Центральная улица), улица Кирова — Калеванкату (ули­ца Калева)."
"Кто в оккупационной политике финнов в Карелии считался ""соплеменниками""?","Историки подсчитали, что в  финских лагерях В Карелии побывали 50 тысяч человек, среди них русские, белорусы, украинцы. Их финны считали «неродственным» населением, а родственными народами признавали карелов, ингерманландцев, вепсов, эстонцев и мордву. Треть узников лагерей погибли от голода. Выжившие рассказывают, что заключенных избивали тросточками и резиновыми дубинками за малейшие нарушения режима."
"Кого из населения финнские оккупационные власти относили к ""соплеменникам""?","Историки подсчитали, что в  финских лагерях В Карелии побывали 50 тысяч человек, среди них русские, белорусы, украинцы. Их финны считали «неродственным» населением, а родственными народами признавали карелов, ингерманландцев, вепсов, эстонцев и мордву. Треть узников лагерей погибли от голода. Выжившие рассказывают, что заключенных избивали тросточками и резиновыми дубинками за малейшие нарушения режима."
На месте каких концлагерей в Петрозаводске установлены памятные знаки?,"Всего в Петрозаводске 68 военно-исторических объектов города Петрозаводска, связанных с героями и событиями Великой Отечественной войны.  Главный мемориал, посвященный узникам концлагерей, находится на Соломенском шоссе, на территории кладбища «Пески»."
Когда началась война?,
Как наказывали заключенных?,"Заключенные вспоминали, что их избивали. ""Старушка, прожившая три года в лагере, передала нам резиновую дубинку, которой фашистские садисты били пленных за малейшую провинность. Полицейский, бежавший из Петрозаводска, позабыл спрятать ее на дно чемодана"". Из книги В.Г. Базанова ""За колючей проволокой: из дневника собирателя"""
обстановка в лагерях,"Из воспоминаний: ""Почти три года мы были оцеплены двойной колючей проволокой, окружены тюремными вышками и охранялись вооруженным конвоем. Нас морили голодом, избивали нагайками за малетшую провинность. Особенно зверствовали в лагере №2 комендант лейтенант Салаваара, а также комендант лагеря Вилки Лакконен.

Из книги В.Г. Базанова ""За колючей проволокой: из дневника собирателя"""
колючая проволока,"""Из воспоминаний: """"Почти три года мы были оцеплены двойной колючей проволокой, окружены тюремными вышками и охранялись вооруженным конвоем. Нас морили голодом, избивали нагайками за малетшую провинность. Особенно зверствовали в лагере №2 комендант лейтенант Салаваара, а также комендант лагеря Вилки Лакконен.

Из книги В.Г. Базанова """"За колючей проволокой: из дневника собирателя"""""""
под конвоем,"""Из воспоминаний: """"Почти три года мы были оцеплены двойной колючей проволокой, окружены тюремными вышками и охранялись вооруженным конвоем. Нас морили голодом, избивали нагайками за малетшую провинность. Особенно зверствовали в лагере №2 комендант лейтенант Салаваара, а также комендант лагеря Вилки Лакконен.

Из книги В.Г. Базанова """"За колючей проволокой: из дневника собирателя"""""""
Заключенные болели? ,"Да. Узники вспоминали: ""Здесь [в лагерях] умирали тысячи пенных от кровавого поноса, тифозной горячки, от воспаления легких, - без всякой врачебной помощи"" (В.Г. Базанов ""За колючей проволокой: из дневника собирателя"")"
Узников лагерей принуждали работать?,"Да. И женщин, и детей. Пленный финский солдат Ахо Суло-Иоганнес вспоминал, что летом 1943 года 200 человек, в основмно подростки, были согнаны на строительство дороги в районе Толвуя и пристани Шитики. Все работали как заключенные под охраной финских солдат (В.Г. Базанов ""За колючей проволокой: из дневника собирателя"")"
освобождение петрозаводска,"«Улицы города хорошо просматривались, они были безлюдны. И вдруг мы увидели множество людей, которые бежали в сторону порта, к горящему пирсу. После некоторых колебаний мы решили, что это жители города бегут к нам навстречу» - Николай Капустин, моряк Онежской флотилии, которая освобождала Петрозаводск"
начало миной жизни,"Морские пехотинцы разбирали завалы, извлекли и уничтожили около пяти тысяч мин, помогали городу вернуться к мирной жизни."
мирное время в Петрозаводске,Первый театральный сезон был открыт в Петрозаводске уже 16 сентября 1944 года. Республиканский театр музыкальной комедии представил зрителям комическую оперу Оффенбаха «Перикола».
продукты в годы оккупации,"Финно-угорскому населению давали продуктовый паек, который по питательной ценности превышал предназначенный для «ненационального» населения. Право приобретения продуктов зависело от возраста, пола и тяжести работы, которую выполнял человек. Иногда дополнительные виды продуктов можно было получить по заключению врача."
еда в концлагерях,Финны и карелы получали 300 граммов муки в день и 400 граммов сахара в месяц. В то же время русским полагалось 200 граммов муки в день и 250 граммов сахара в месяц.
пытки людей,"Аркадий Ярицын, бывший узник: ""Из дома, что и сегодня стоит на улице Олонецкой в Петрозаводске, время от времени доносились страшные крики. Там истязали и пытали людей. Туда доставляли виновных в нарушении лагерного режима или тех, кого охранники считали таковыми по своему усмотрению. Новоявленные палачи, не считаясь с девической стыдливостью, не слыша детского плача, срывали со своих жертв одежду и избивали резиновыми плетками. "
", наказания в концлагерях","Аркадий Ярицын, бывший узник: ""Из дома, что и сегодня стоит на улице Олонецкой в Петрозаводске, время от времени доносились страшные крики. Там истязали и пытали людей. Туда доставляли виновных в нарушении лагерного режима или тех, кого охранники считали таковыми по своему усмотрению. Новоявленные палачи, не считаясь с девической стыдливостью, не слыша детского плача, срывали со своих жертв одежду и избивали резиновыми плетками. "
как воспитывали детей,"В финских народных школах, которых в оккупированной Карелии было более ста, действовала 10-балльная система оценок. С 7 лет детей воспитывали на национальных традициях, насаждали идею Великой Финляндии. В новом выпуске проекта «Выставка Победы»"
отношение к детям в годы оккупации,"Дети родственных народов (финны, карелы) в годы оккупации обучались в специальных школах. Уроки шли на финском языке. При школах работали бесплатные столовые, где кормили учеников. "
дети в годы оккупации,"Дети родственных народов (финны, карелы) в годы оккупации обучались в специальных школах. Уроки шли на финском языке. При школах работали бесплатные столовые, где кормили учеников. "
финская армия,"По данным сайта «Всё о Второй мировой», первые велосипедные подразделения в Финской армии появились в 1921 году. К концу 1930-х годов в егерских частях финской армии находились батальоны (Jääkäripataljoona), которые в летнее время были велосипедными подразделениями, а с наступлением зимы — «переобувались» в лыжи. "
финские войска,"По данным сайта «Всё о Второй мировой», первые велосипедные подразделения в Финской армии появились в 1921 году. К концу 1930-х годов в егерских частях финской армии находились батальоны (Jääkäripataljoona), которые в летнее время были велосипедными подразделениями, а с наступлением зимы — «переобувались» в лыжи. "
Где находились финские концлагеря?,"В поселке Соломенное в 1941 году было организовано 2 концлагеря — один для гражданского населения на улице Октября, другой — для военнопленных. Сейчас на его месте стоят дома №8 и №10 по улице Соломенской."
Расположение концлагерей,"В поселке Соломенное в 1941 году было организовано 2 концлагеря — один для гражданского населения на улице Октября, другой — для военнопленных. Сейчас на его месте стоят дома №8 и №10 по улице Соломенской."
Территория концлагерей,"В поселке Соломенное в 1941 году было организовано 2 концлагеря — один для гражданского населения на улице Октября, другой — для военнопленных. Сейчас на его месте стоят дома №8 и №10 по улице Соломенской."
история лагерей в карелии,"Официального подтверждения того, что в Соломенном были концлагеря, нет: финская армия при отсутплении забрала все документы. О лагерях стало известно благодаря местным жителям. "
Как оккупировали Петрозаводск?,"2 октября 1941 года части 7-й советской армии после ожесточенных сентябрьских боев на Петрозаводском направлении оставили город и Соломенное. Их оккупировали финны. Соломенное тогда было не частью Петрозаводска, а рабочим поселком."
Когда захватили город?,"2 октября 1941 года части 7-й советской армии после ожесточенных сентябрьских боев на Петрозаводском направлении оставили город и Соломенное. Их оккупировали финны. Соломенное тогда было не частью Петрозаводска, а рабочим поселком."
закхват города,"2 октября 1941 года части 7-й советской армии после ожесточенных сентябрьских боев на Петрозаводском направлении оставили город и Соломенное. Их оккупировали финны. Соломенное тогда было не частью Петрозаводска, а рабочим поселком."
захват Петрозаводска,"2 октября 1941 года части 7-й советской армии после ожесточенных сентябрьских боев на Петрозаводском направлении оставили город и Соломенное. Их оккупировали финны. Соломенное тогда было не частью Петрозаводска, а рабочим поселком."
бой за Петрозаводск,"2 октября 1941 года части 7-й советской армии после ожесточенных сентябрьских боев на Петрозаводском направлении оставили город и Соломенное. Их оккупировали финны. Соломенное тогда было не частью Петрозаводска, а рабочим поселком."
бои за Петрозаводск,"2 октября 1941 года части 7-й советской армии после ожесточенных сентябрьских боев на Петрозаводском направлении оставили город и Соломенное. Их оккупировали финны. Соломенное тогда было не частью Петрозаводска, а рабочим поселком."
растрелы в Петрозаводске,"Мирным жителям разрешали свободно передвигаться с 6:00 до 21:00. Нарушил – расстрел. Грозил расстрел и тем, кто предоставлял ночлег людям, не прописанным в доме. На каждом доме висел список проживавших."
заключенных расстреливали,"Мирным жителям разрешали свободно передвигаться с 6:00 до 21:00. Нарушил – расстрел. Грозил расстрел и тем, кто предоставлял ночлег людям, не прописанным в доме. На каждом доме висел список проживавших."
кого расстреливали финны?,"Мирным жителям разрешали свободно передвигаться с 6:00 до 21:00. Нарушил – расстрел. Грозил расстрел и тем, кто предоставлял ночлег людям, не прописанным в доме. На каждом доме висел список проживавших."
Кто такой Мерецков?,"Кирилл Афанасьевич Мерецков стал командовать Карельским фронтом в середине февраля 1944 года вместо Валериана Фролова. Тогда он был в звании генерала армии. Во главе фронта Мерецков провел Свирско-Петрозаводскую операцию – преследовал противника на кандалакшском и кестеньгском направлениях., руководил Петсамо-Киркинесской операцией"
Кто командовал Карельским фронтом?,"Кирилл Афанасьевич Мерецков стал командовать Карельским фронтом в середине февраля 1944 года вместо Валериана Фролова. Тогда он был в звании генерала армии. Во главе фронта Мерецков провел Свирско-Петрозаводскую операцию – преследовал противника на кандалакшском и кестеньгском направлениях., руководил Петсамо-Киркинесской операцией"
командование Карельским фронтом,"Кирилл Афанасьевич Мерецков стал командовать Карельским фронтом в середине февраля 1944 года вместо Валериана Фролова. Тогда он был в звании генерала армии. Во главе фронта Мерецков провел Свирско-Петрозаводскую операцию – преследовал противника на кандалакшском и кестеньгском направлениях., руководил Петсамо-Киркинесской операцией"
кто руководил петрозаводском в годы войны,"Иван Сергеевич Молчанов - первый военный комендант Петрозаводска после окончания советско-финской войны (1941—1944), Почётный гражданин Петрозаводска (1979)."
власть в Петрозаводске в годы войны,Иван Молчанов был назначен военным комендантом Петрозаводска до возобновления работы органов советской власти. 
город воинской славы,Звание «Город воинской славы» Петрозаводску присвоили в 2015 году.
режим финских оккупантов,"В период оккупации финские власти переименовывали улицы Петрозаводска и уничтожали старые вывески. Например, улица Коммунистов — Kommunistienkatu до 1918 года носила название Вознесенская. Во время финской оккупации 1941—1944 годов ее переименовали в улицу Водскую, а после освобождения и в настоящее время название улицы сохранилось прежним"
переименовали улицы,"Из книги Юкка Куломаа «Финская оккупация Петрозаводска»: «Проспект Карла Маркса ок­рестили нейтрально — Валтакату (Главная улица), улица Ленина стала Карьяланкату (Карельская улица), улица Энгельса — Кескускату (Центральная улица), улица Кирова — Калеванкату (ули­ца Калева)."
финские названия в Петрозаводске,"Из книги Юкка Куломаа «Финская оккупация Петрозаводска»: «Проспект Карла Маркса ок­рестили нейтрально — Валтакату (Главная улица), улица Ленина стала Карьяланкату (Карельская улица), улица Энгельса — Кескускату (Центральная улица), улица Кирова — Калеванкату (ули­ца Калева)."
финская власть,"Из книги Юкка Куломаа «Финская оккупация Петрозаводска»: «Проспект Карла Маркса ок­рестили нейтрально — Валтакату (Главная улица), улица Ленина стала Карьяланкату (Карельская улица), улица Энгельса — Кескускату (Центральная улица), улица Кирова — Калеванкату (ули­ца Калева)."
финская политика в Карелии,"Из книги Юкка Куломаа ""Финская оккупация Петрозаводска"": Поэта Пушкина заменили Лённротом, ветерана революции и бывше­го начальника советской тайной полиции Дзержинского, в свою очередь, — Вяйнямёйненом. Военная тема была представлена, например, названиями Хеймосотуринкату, Хаккапелиитанкату, Сиссинкату (улицы Воина-соплеменника, Кирасирская, Пар­тизанская)»."
"Привет, как дела?","Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Привет! Как дела?,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Ghbdtn!,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Что делаешь,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Что делаишь,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Ты кто?,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
А ты кто,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Я устал,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Я устала,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Отстань,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Зачем мы здесь?,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Xnj ltkftim,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Я тебя не понимаю,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
"Z nt,z yt gjybvf.","Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
skfjskfj,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Пока,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
"Все, пока","Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Я ухожу,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Z e[j;e,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
"cgfcb,j pf hfpujdjh","Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Спасибо за информацию,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Спасибо за разговор,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Я тебе не верю,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Я тебе верб,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
ты не прав,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
ns yt ghfd,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Это неправда,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Ты врещь,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Ты врешь,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Ns dhtim,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
ваьааыоли,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
safhakfbvb,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
vs dct evhtv,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
мы все умрем,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
превед медвед,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
а что это вы тут делаете,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Зачем?,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
зачем,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
Кто виноват,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
что делать,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
rnj dbyjdfn,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
чтоты думаешь о коронавирусе,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
что ты думаешт о коронавирусе,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
что ты думаешь о коронавирусе,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
привет,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
куда нужно нажимать,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
улдйцлудф,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"
не могу .,"Возможно, это вопрос не по теме оккупации Петрозаводска. Попробуй задать другой. Или обратитесь за справкой: /help"